cliente_id,IBAN,balance
5CNK6TY57M,DE22854678035329329194,829758.083
7XV2AMEW38,FR12814109215267655376,-186.759
J31QLTG3QZ,DE51235032232053244680,192460.249
YLS9O2HQ8A,FR75684707867627693179,636710.27
3NLCG7P7ZA,FR74062867536838572533,-158.569
XMNXNAXC58,FR42854833181906467185,487147.156
ZMLU6WMYJR,FR15573985976765478701,1087.978
M28AFH4L57,FR07802198566424580602,350829.55
8UI1LE4K1I,FR17840861249872614540,-48.359
AYVVC59IJM,DE39068659026952468614,233111.773
P3K17SFMF3,DE03101185580371669102,244497.948
TQZCWUIC4U,FR74113576080106407788,430865.938
K4UIG2O4DA,ES04130710402547549384,141303.395
56W80I6DET,FR19390105520753328915,650925.587
W7SWI8DGR3,DE22266958911197314151,607206.692
H9W5148EP5,DE01958858129042556402,292475.683
6GA8KFTQ2V,ES11966873052792762381,969887.718
G8EQ2L57KJ,ES78841559345960991976,285016.176
I05ETVTK0D,ES70266057703220422575,912509.518
RM68GEQ1JM,FR62480353023981278403,359726.874
OPPK24SXL9,FR89362830585894222939,932123.217
0DFD6AVWMC,ES68609224825213103242,110763.348
DEA4U5ZCQ3,ES83519103462366135452,664584.569
LQTA6RV1SE,FR83147772043110985649,897634.815
URHLP40THS,FR77495135394687708050,722600.599
5WNZXOQ3BC,DE33356528010192827730,596709.295
VKYOAFNCMF,ES98664878021435859994,443215.741
HANT2VTAUN,FR73662094830318386657,134851.17
SKN14TB31L,ES45422086299626221424,847345.069
BHRU123M2E,ES84412321608606300416,856509.955
8G62RS0JTV,FR48529511633284950179,725039.596
O1AMBIAQ39,DE77082143836882950158,36939.818
3H2Q3WXRB3,ES09982408919929803545,957978.331
4ORMKZ7AO2,ES97538401799174838031,313181.388
UJZ0LH4UCH,DE36582458595998013583,534416.041
YY6MG7GBEU,DE82024456061861958264,538724.4
F4XC5CD8VF,DE48136687760301835773,49515.507
ZGOPZ470BW,ES51626208327524449654,241670.584
D0604N6ZA7,ES91963703216860092031,199548.062
XG4GPX5F52,DE34439568513130573568,690938.286
09BIGR90IX,ES15394673672186509150,943051.145
JQIA1HWGAS,ES59178210582224784319,969625.027
YOE5MV0P19,DE38638439221825475861,386300.892
SV015YNDHS,ES44812191642063471481,181635.373
8C7HDFN8A4,FR91279792177823022214,863498.931
23RLPH0Z78,DE15215550120949609770,762776.35
DXN3KIGDNE,FR41271023957868099361,-138.924
C8KXRN1LR2,ES53648296575652313893,896878.013
318K62KE9Q,DE84688515669576565882,-79.318
WSNHUAPY7H,DE32253272646463068211,931644.815
LW5EC19E4H,DE60892482817275567549,251478.671
NOK90RLX9S,DE37829561630670223023,-199.931
U2OS50NDOH,FR39451647676409828553,712939.411
2RLF6725NJ,ES57747371356267596944,494605.436
4NTX3KD01T,DE33978560535271344915,754169.647
EQ78BW01OX,ES25270934520569968625,164643.302
86AU3ZNDZS,FR52618369075149078145,67067.129
Z7RYSL8PPG,DE23193056971063308809,967102.292
J07FU4QNYH,ES17993050989471017040,794283.011
BEPN92D5LH,DE04631362377286219677,327210.73
VTVDR4NPN9,ES70024281852224086799,655986.482
BN7EBA0VPU,ES82116637045938096813,-91.8
VXKN1WLPQH,FR52605295878049138904,320990.146
GS9P641NGG,FR04308410663755453935,1641.684
GTEI57JGHA,ES43399857573168543069,-25.109
DF464S0RVP,DE88552199210121079755,626689.265
20I19HAKAJ,DE09722648400224354649,369369.597
CBWUAPKSE2,DE08231574159868892453,-83.425
W7VF8LW041,DE55288191426361301601,764447.39
CHOOBHKTWM,DE56665233157302992431,935519.567
C9TULTP3A6,DE89152661051198442544,-48.072
8F04AAL6QU,DE54126249206467095222,52100.96
1FFXPL5SWD,FR04120210828774121854,611377.039
C933CUM6PG,ES89026956389613996153,826301.542
4O05PRNPG7,FR44743375518854736910,287489.643
